Orden_ID,Fecha,Cliente,Sector_Cliente,Tipo_Equipo,Componente,Tipo_Servicio,Tecnico_Responsable,Tiempo_Reparacion_Horas,Costo_Repuestos_PEN,Costo_Mano_Obra_PEN,Costo_Total_PEN,Estado,Reincidencia
OT-2024068,2024-01-02,Cementos Yura,Construcción,Volquete,Alternador,Mantenimiento Hidráulico,Luis Flores,8.8,4824.93,435.62,5260.55,Completado,No
OT-2024212,2024-01-02,Minera Chapi,Construcción,Grúa,Acumulador de Freno,Mantenimiento Hidráulico,Pedro Vilca,9.9,7098.51,519.76,7618.27,Completado,No
OT-2024268,2024-01-02,Consorcio Vial Sur,Industria,Cargador Frontal,Alternador,Soldadura,José Quispe,7.0,2640.68,292.44,2933.12,Pendiente,No
OT-2024420,2024-01-05,Cerro Verde,Energía,Tractor,Motor Eléctrico,Mantenimiento Hidráulico,Ana Torres,10.6,5714.72,546.58,6261.3,Completado,No
OT-2024132,2024-01-05,Minera Chapi,Transporte,Retroexcavadora,Acumulador de Freno,Cromado Duro,Pedro Vilca,14.2,3365.41,718.48,4083.89,Pendiente,No
OT-2024598,2024-01-09,Transportes Rodríguez,Energía,Perforadora,Arrancador,Cromado Duro,Luis Flores,6.6,7074.61,346.86,7421.47,Completado,No
OT-2024275,2024-01-09,Yura S.A.,Energía,Excavadora,Alternador,Soldadura,Ana Torres,8.2,5994.48,438.27,6432.75,Completado,No
OT-2024512,2024-01-12,Buenaventura,Minería,Excavadora,Acumulador de Freno,Mantenimiento Hidráulico,Pedro Vilca,7.9,1916.7,326.66,2243.36,Completado,No
OT-2024053,2024-01-14,Minera Chapi,Transporte,Grúa,Rueda,Mantenimiento Hidráulico,Pedro Vilca,2.9,2451.81,127.29,2579.1,Pendiente,No
OT-2024097,2024-01-15,Cementos Yura,Construcción,Tractor,Bastidor,Soldadura,Luis Flores,4.3,2780.94,198.74,2979.68,En proceso,No
OT-2024138,2024-01-15,Constructora Andina,Energía,Retroexcavadora,Cilindro Hidráulico,Soldadura,Ana Torres,6.9,5166.02,347.4,5513.42,Pendiente,Sí
OT-2024490,2024-01-16,Transportes Rodríguez,Energía,Tractor,Cilindro Hidráulico,Mantenimiento Hidráulico,Luis Flores,8.5,7097.88,329.75,7427.63,Completado,No
OT-2024340,2024-01-17,Aceros Arequipa,Construcción,Volquete,Cucharón,Soldadura,Miguel Choque,7.0,3583.98,273.77,3857.75,Completado,No
OT-2024365,2024-01-18,Cementos Yura,Minería,Tractor,Rueda,Mantenimiento Hidráulico,José Quispe,8.6,1066.87,440.34,1507.21,Pendiente,No
OT-2024559,2024-01-19,Cerro Verde,Minería,Volquete,Motor Eléctrico,Mantenimiento Hidráulico,Luis Flores,16.6,3369.39,965.53,4334.92,Completado,No
OT-2024390,2024-01-20,Cerro Verde,Construcción,Tractor,Cilindro Hidráulico,Mantenimiento Hidráulico,Carlos Mamani,9.6,1381.17,450.58,1831.75,En proceso,No
OT-2024006,2024-01-21,Transportes Rodríguez,Minería,Excavadora,Cilindro Hidráulico,Soldadura,Ana Torres,1.6,2274.32,70.41,2344.73,En proceso,No
OT-2024047,2024-01-21,Buenaventura,Energía,Volquete,Cucharón,Soldadura,Miguel Choque,2.7,7162.84,149.68,7312.52,En proceso,No
OT-2024319,2024-01-22,Constructora Andina,Construcción,Grúa,Alternador,Soldadura,José Quispe,8.8,2590.42,488.92,3079.34,Completado,Sí
OT-2024029,2024-01-22,Constructora Andina,Energía,Retroexcavadora,Mando Final,Mantenimiento Hidráulico,Ana Torres,5.6,7426.31,297.02,7723.33,Pendiente,Sí
OT-2024480,2024-01-23,Cerro Verde,Construcción,Grúa,Rueda,Mantenimiento Hidráulico,Ana Torres,8.3,998.46,446.49,1444.95,Completado,No
OT-2024577,2024-01-25,Minera Chapi,Minería,Excavadora,Suspensión,Mantenimiento Hidráulico,Pedro Vilca,6.0,5379.46,245.63,5625.09,Pendiente,No
OT-2024327,2024-01-27,Minera Chapi,Minería,Tractor,Alternador,Cromado Duro,Ana Torres,13.9,9838.91,698.45,10537.36,Completado,No
OT-2024163,2024-01-28,Cementos Yura,Energía,Excavadora,Cilindro Hidráulico,Soldadura,José Quispe,4.9,1095.2,276.87,1372.07,Completado,No
